
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         32 K
Registry                       124 Services                   0     77.716 K
smss.exe                       672 Services                   0        568 K
csrss.exe                      724 Services                   0      3.300 K
wininit.exe                    816 Services                   0      3.500 K
services.exe                   928 Services                   0      8.792 K
lsass.exe                      560 Services                   0     25.964 K
svchost.exe                   1056 Services                   0     30.724 K
fontdrvhost.exe               1104 Services                   0        884 K
svchost.exe                   1228 Services                   0     17.232 K
svchost.exe                   1280 Services                   0      7.400 K
svchost.exe                   1440 Services                   0      5.604 K
svchost.exe                   1548 Services                   0      5.404 K
svchost.exe                   1556 Services                   0      5.528 K
svchost.exe                   1620 Services                   0     11.112 K
svchost.exe                   1652 Services                   0      6.440 K
svchost.exe                   1720 Services                   0      4.876 K
svchost.exe                   1740 Services                   0      2.768 K
svchost.exe                   1860 Services                   0     13.144 K
svchost.exe                   1876 Services                   0      8.680 K
svchost.exe                   1940 Services                   0      4.924 K
svchost.exe                   1504 Services                   0      2.632 K
svchost.exe                   2052 Services                   0      2.524 K
svchost.exe                   2136 Services                   0      4.592 K
svchost.exe                   2328 Services                   0      4.328 K
NVDisplay.Container.exe       2376 Services                   0     11.100 K
svchost.exe                   2404 Services                   0      4.908 K
svchost.exe                   2540 Services                   0      9.096 K
svchost.exe                   2556 Services                   0      7.332 K
svchost.exe                   2608 Services                   0      3.180 K
svchost.exe                   2660 Services                   0     17.236 K
svchost.exe                   2672 Services                   0      3.224 K
atiesrxx.exe                  2728 Services                   0      2.712 K
svchost.exe                   2828 Services                   0      6.500 K
svchost.exe                   2872 Services                   0      3.768 K
svchost.exe                   2924 Services                   0      4.820 K
svchost.exe                   2220 Services                   0      3.920 K
svchost.exe                   2280 Services                   0      8.688 K
svchost.exe                   2256 Services                   0      2.152 K
svchost.exe                   2528 Services                   0      5.816 K
Memory Compression            3116 Services                   0    515.792 K
svchost.exe                   3160 Services                   0      2.112 K
svchost.exe                   3216 Services                   0      5.832 K
svchost.exe                   3300 Services                   0      6.652 K
svchost.exe                   3328 Services                   0      7.072 K
svchost.exe                   3348 Services                   0      5.176 K
svchost.exe                   3420 Services                   0      5.480 K
svchost.exe                   3428 Services                   0     24.656 K
svchost.exe                   3948 Services                   0      3.824 K
dasHost.exe                   3988 Services                   0     11.496 K
WmiPrvSE.exe                  3384 Services                   0      8.320 K
svchost.exe                   3712 Services                   0      3.964 K
svchost.exe                   4188 Services                   0      5.572 K
svchost.exe                   4232 Services                   0      4.728 K
svchost.exe                   4328 Services                   0     48.908 K
svchost.exe                   4444 Services                   0      3.168 K
svchost.exe                   4452 Services                   0      4.976 K
svchost.exe                   4768 Services                   0      7.348 K
svchost.exe                   4820 Services                   0      9.124 K
WmiPrvSE.exe                  4868 Services                   0     21.356 K
spoolsv.exe                   4892 Services                   0     13.452 K
svchost.exe                   5088 Services                   0     12.144 K
wlanext.exe                   4528 Services                   0      3.396 K
conhost.exe                   4544 Services                   0      1.536 K
svchost.exe                   5236 Services                   0      2.956 K
svchost.exe                   5244 Services                   0      4.460 K
AppleMobileDeviceService.     5396 Services                   0      4.492 K
mDNSResponder.exe             5404 Services                   0      3.524 K
svchost.exe                   5420 Services                   0     41.292 K
svchost.exe                   5440 Services                   0     29.744 K
svchost.exe                   5456 Services                   0      5.832 K
svchost.exe                   5464 Services                   0     11.568 K
avp.exe                       5476 Services                   0    238.700 K
OfficeClickToRun.exe          5496 Services                   0     24.228 K
nvcontainer.exe               5508 Services                   0     22.164 K
svchost.exe                   5528 Services                   0      1.180 K
ServiceLayer.exe              5556 Services                   0     16.596 K
RzSDKService.exe              5568 Services                   0      4.392 K
RzSDKServer.exe               5580 Services                   0      2.684 K
GameManagerService.exe        5596 Services                   0      4.236 K
RazerCentralService.exe       5608 Services                   0     26.828 K
RtkBtAudioServ.exe            5628 Services                   0      1.912 K
RtkBtManServ.exe              5644 Services                   0      3.312 K
sqlwriter.exe                 5680 Services                   0      2.476 K
svchost.exe                   5688 Services                   0      8.336 K
